distance,mean,std_dev
1,15.000000,0.000000
2,15.000000,0.000000
3,15.000000,0.000000
4,15.000000,0.000000
5,14.996000,0.063119
6,14.976000,0.153049
7,14.902000,0.307239
8,14.757000,0.489848
9,14.484000,0.706926
10,14.159000,0.913082
11,13.758000,1.030260
12,13.316000,1.173944
13,12.812000,1.297943
14,12.438000,1.431138
15,11.887000,1.621799
16,11.521000,1.679154
17,11.084000,1.686696
18,10.665000,1.692565
19,10.225000,1.817244
20,9.835000,1.817079
21,9.378000,1.848003
22,9.250000,1.817553
23,8.924000,1.876759
24,8.570000,1.953740
25,8.354000,1.916947
26,8.000000,1.954482
27,7.820000,1.937937
28,7.615000,1.955703
29,7.373000,1.945731
30,7.079000,1.871566
31,6.938000,1.877806
32,6.741000,1.949851
33,6.520000,1.971700
34,6.379000,1.904038
35,6.147000,1.897206
36,6.053000,1.922028
37,5.890000,1.813808
38,5.849000,1.941700
39,5.664000,1.814691
40,5.640000,1.876273
41,5.376000,1.845704
42,5.277000,1.873572
43,5.149000,1.829426
44,5.062000,1.811120
45,4.961000,1.841597
46,4.887000,1.761315
47,4.775000,1.834768
48,4.634000,1.702364
49,4.681000,1.769531
50,4.407000,1.781951
51,4.427000,1.764843
52,4.357000,1.799875
53,4.293000,1.736995
54,4.129000,1.710076
55,4.082000,1.680261
56,4.005000,1.719004
57,3.895000,1.651658
58,3.824000,1.707344
59,3.818000,1.682521
60,3.768000,1.640785
61,3.709000,1.690065
62,3.641000,1.718173
63,3.541000,1.624906
64,3.574000,1.710124
65,3.510000,1.580475
66,3.452000,1.657618
67,3.293000,1.548919
68,3.290000,1.643746
69,3.251000,1.641341
70,3.230000,1.578955
71,3.084000,1.552077
72,3.096000,1.644015
73,3.046000,1.570950
74,3.023000,1.556429
75,3.015000,1.559736
76,2.989000,1.562331
77,2.957000,1.540503
78,2.905000,1.485253
79,2.844000,1.536120
80,2.864000,1.469525
81,2.764000,1.469797
82,2.781000,1.546298
83,2.723000,1.451300
84,2.685000,1.431704
85,2.656000,1.442104
86,2.691000,1.505164
87,2.531000,1.450186
88,2.574000,1.445864
89,2.495000,1.376218
90,2.529000,1.471448
91,2.515000,1.456631
92,2.456000,1.412113
93,2.396000,1.462595
94,2.459000,1.449248
95,2.336000,1.422359
96,2.402000,1.360293
97,2.368000,1.413002
98,2.302000,1.385928
99,2.327000,1.357966
100,2.296000,1.381443
101,2.176000,1.363460
102,2.187000,1.349085
103,2.208000,1.405964
104,2.096000,1.319388
105,2.162000,1.329570
106,2.114000,1.383837
107,2.099000,1.354695
108,2.056000,1.314863
109,2.072000,1.336718
