distance,mean,std_dev
1,10.000000,0.000000
2,10.000000,0.000000
3,10.000000,0.000000
4,10.000000,0.000000
5,10.000000,0.000000
6,10.000000,0.000000
7,10.000000,0.000000
8,10.000000,0.000000
9,10.000000,0.000000
10,10.000000,0.000000
11,10.000000,0.000000
12,10.000000,0.000000
13,10.000000,0.000000
14,9.998000,0.044677
15,9.996000,0.063119
16,9.995000,0.070534
17,9.993000,0.083373
18,9.985000,0.121552
19,9.975000,0.156125
20,9.966000,0.181229
21,9.941000,0.235625
22,9.903000,0.312396
23,9.868000,0.364110
24,9.833000,0.420846
25,9.781000,0.446138
26,9.694000,0.546227
27,9.662000,0.577716
28,9.619000,0.588081
29,9.511000,0.664740
30,9.454000,0.692737
31,9.372000,0.787157
32,9.253000,0.801867
33,9.116000,0.900302
34,9.096000,0.901545
35,8.999000,0.926822
36,8.911000,0.948198
37,8.744000,1.033665
38,8.735000,1.063379
39,8.564000,1.141886
40,8.444000,1.175102
41,8.358000,1.198264
42,8.254000,1.189741
43,8.212000,1.242198
44,8.116000,1.244405
45,7.960000,1.297074
46,7.837000,1.323039
47,7.736000,1.296265
48,7.642000,1.328848
49,7.595000,1.383103
50,7.463000,1.324625
51,7.241000,1.394604
52,7.278000,1.410218
53,7.177000,1.430270
54,7.053000,1.445749
55,7.010000,1.496630
56,6.883000,1.491077
57,6.884000,1.454147
58,6.771000,1.455527
59,6.849000,1.451964
60,6.594000,1.501054
61,6.486000,1.514531
62,6.440000,1.530490
63,6.271000,1.502518
64,6.367000,1.494761
65,6.198000,1.571877
66,6.090000,1.604338
67,6.100000,1.507979
68,6.081000,1.444451
69,5.892000,1.522608
70,5.902000,1.553833
71,5.852000,1.542108
72,5.696000,1.555501
73,5.608000,1.588186
74,5.591000,1.541337
75,5.609000,1.642595
76,5.557000,1.626269
77,5.382000,1.591250
78,5.447000,1.537267
79,5.319000,1.571381
80,5.221000,1.601924
81,5.220000,1.560000
82,5.104000,1.542460
83,5.195000,1.584606
84,4.959000,1.586606
85,4.998000,1.501331
86,5.046000,1.608068
87,4.875000,1.607910
88,4.824000,1.583990
89,4.834000,1.564750
90,4.828000,1.510105
91,4.602000,1.556790
92,4.690000,1.564577
93,4.609000,1.543411
94,4.623000,1.537163
95,4.544000,1.540800
96,4.547000,1.538763
97,4.479000,1.539987
98,4.354000,1.532542
99,4.346000,1.564699
100,4.313000,1.648342
101,4.319000,1.573289
102,4.249000,1.547578
103,4.259000,1.536854
104,4.168000,1.556848
105,4.152000,1.523449
106,4.146000,1.493547
107,4.133000,1.545093
108,4.038000,1.580682
109,3.973000,1.591939
110,4.019000,1.562254
111,3.873000,1.524753
112,3.924000,1.570422
113,3.928000,1.562311
114,3.831000,1.538323
115,3.751000,1.584613
116,3.784000,1.453735
117,3.668000,1.512540
118,3.748000,1.544181
119,3.667000,1.570386
120,3.677000,1.592693
121,3.670000,1.524828
122,3.650000,1.509801
123,3.621000,1.513063
124,3.555000,1.509627
125,3.594000,1.480933
126,3.522000,1.511792
127,3.503000,1.466285
128,3.504000,1.491303
129,3.377000,1.508268
130,3.461000,1.459616
131,3.289000,1.554824
132,3.304000,1.511153
133,3.251000,1.469013
134,3.227000,1.503819
135,3.328000,1.518030
136,3.172000,1.460964
137,3.225000,1.493444
138,3.232000,1.512672
139,3.158000,1.482915
140,3.122000,1.488998
141,3.163000,1.517376
142,3.203000,1.458695
143,3.139000,1.468223
144,3.149000,1.482160
145,3.100000,1.500000
146,2.990000,1.456674
147,3.118000,1.464266
148,2.969000,1.409978
149,2.951000,1.387299
150,2.961000,1.389057
151,2.941000,1.409794
152,2.955000,1.463890
153,2.948000,1.464683
154,2.939000,1.452336
155,2.926000,1.412276
156,2.855000,1.419850
157,2.819000,1.434656
158,2.786000,1.405775
159,2.801000,1.401927
160,2.773000,1.431597
161,2.827000,1.472097
162,2.744000,1.407290
163,2.684000,1.387135
164,2.778000,1.433428
165,2.696000,1.387654
166,2.705000,1.382742
167,2.683000,1.377865
168,2.767000,1.435518
169,2.661000,1.410702
170,2.671000,1.396696
171,2.635000,1.434495
172,2.629000,1.441305
173,2.612000,1.349613
174,2.494000,1.318319
175,2.604000,1.374476
176,2.546000,1.344576
177,2.591000,1.376851
178,2.429000,1.339761
179,2.475000,1.351064
180,2.514000,1.358604
181,2.474000,1.340643
182,2.485000,1.339319
183,2.482000,1.393440
184,2.422000,1.394961
185,2.420000,1.419718
186,2.473000,1.447505
187,2.400000,1.359412
188,2.328000,1.295537
189,2.426000,1.341091
190,2.423000,1.379881
191,2.378000,1.379535
192,2.295000,1.349064
193,2.418000,1.369407
194,2.338000,1.403480
195,2.297000,1.358231
196,2.314000,1.348853
197,2.328000,1.352929
198,2.293000,1.326330
199,2.241000,1.351636
200,2.272000,1.351302
201,2.306000,1.302445
202,2.280000,1.311335
203,2.239000,1.252150
204,2.235000,1.309112
205,2.190000,1.308396
206,2.222000,1.333685
207,2.210000,1.265662
208,2.211000,1.355905
209,2.085000,1.256891
210,2.197000,1.280699
211,2.096000,1.335958
212,2.054000,1.265339
213,2.021000,1.330624
214,2.172000,1.335072
215,2.086000,1.315524
216,2.108000,1.249134
217,2.051000,1.318484
218,2.037000,1.263183
219,2.082000,1.256692
220,2.020000,1.222129
221,2.027000,1.269752
222,2.002000,1.225559
223,1.944000,1.277836
224,2.085000,1.265612
225,2.075000,1.319612
226,2.002000,1.251398
227,1.982000,1.251270
228,1.960000,1.231422
229,2.003000,1.310340
230,2.006000,1.236917
231,1.973000,1.245099
232,1.933000,1.300965
233,1.945000,1.244176
234,1.934000,1.213937
235,1.946000,1.247030
236,1.914000,1.217622
237,1.864000,1.218813
238,1.925000,1.262290
239,1.940000,1.240323
240,1.916000,1.239735
241,1.834000,1.271395
242,1.896000,1.286540
243,1.931000,1.274456
244,1.851000,1.181863
245,1.817000,1.211409
246,1.871000,1.219983
247,1.787000,1.179674
248,1.812000,1.183493
249,1.845000,1.216953
250,1.850000,1.220451
251,1.842000,1.202928
252,1.835000,1.239264
253,1.856000,1.225261
254,1.782000,1.238740
255,1.695000,1.133126
256,1.738000,1.192206
257,1.759000,1.235686
258,1.816000,1.237798
259,1.755000,1.162315
260,1.721000,1.179474
261,1.723000,1.191751
262,1.748000,1.190166
263,1.774000,1.216932
264,1.742000,1.175345
265,1.708000,1.086617
266,1.647000,1.163783
267,1.645000,1.145851
268,1.704000,1.221632
269,1.751000,1.237335
270,1.693000,1.199479
271,1.686000,1.143418
272,1.707000,1.188760
273,1.632000,1.155239
274,1.638000,1.175991
275,1.632000,1.161282
276,1.674000,1.165214
277,1.585000,1.150989
278,1.594000,1.168402
279,1.601000,1.173797
280,1.596000,1.147512
281,1.614000,1.171753
282,1.671000,1.227501
283,1.607000,1.189349
284,1.593000,1.104242
285,1.553000,1.160686
286,1.662000,1.166943
287,1.589000,1.202530
288,1.580000,1.128539
289,1.585000,1.170801
290,1.563000,1.112668
291,1.559000,1.158671
292,1.576000,1.148139
293,1.508000,1.095416
294,1.557000,1.125500
295,1.523000,1.132904
296,1.534000,1.120198
297,1.496000,1.138413
298,1.478000,1.111538
299,1.512000,1.168698
300,1.568000,1.133744
301,1.545000,1.219826
302,1.498000,1.136660
303,1.498000,1.153255
304,1.446000,1.121198
305,1.487000,1.105365
306,1.490000,1.139254
307,1.447000,1.095989
308,1.479000,1.110657
309,1.501000,1.168760
310,1.501000,1.164474
311,1.388000,1.070260
312,1.422000,1.101779
313,1.498000,1.155853
314,1.420000,1.114271
315,1.386000,1.070049
316,1.438000,1.132323
317,1.510000,1.158404
318,1.444000,1.131753
319,1.427000,1.078272
320,1.425000,1.073487
321,1.409000,1.091659
322,1.403000,1.052896
323,1.410000,1.062968
324,1.387000,1.093266
325,1.346000,1.093748
326,1.385000,1.098533
327,1.402000,1.080924
328,1.448000,1.085954
329,1.378000,1.086792
330,1.338000,1.107139
331,1.403000,1.136042
332,1.353000,1.041341
333,1.377000,1.081143
334,1.379000,1.106056
335,1.377000,1.047316
336,1.374000,1.073370
337,1.322000,1.112796
338,1.362000,1.117567
339,1.399000,1.075081
340,1.299000,1.080555
341,1.339000,1.096394
342,1.284000,1.044674
343,1.285000,1.076000
344,1.317000,1.116473
345,1.343000,1.085979
346,1.355000,1.067228
347,1.321000,1.043053
348,1.358000,1.083437
349,1.338000,1.097158
350,1.278000,1.040536
351,1.281000,1.024714
352,1.308000,1.085880
353,1.329000,1.082940
354,1.329000,1.125504
355,1.253000,1.039707
356,1.220000,1.069392
357,1.256000,1.028817
358,1.244000,1.052836
359,1.259000,1.060150
360,1.241000,1.061564
361,1.298000,1.047471
362,1.275000,1.051368
363,1.198000,1.017249
364,1.326000,1.096232
365,1.266000,0.994607
366,1.214000,1.034507
367,1.271000,1.031290
368,1.246000,1.071207
369,1.164000,0.969074
370,1.242000,1.041843
371,1.273000,1.043298
372,1.213000,1.028412
373,1.238000,1.079517
374,1.219000,1.082146
375,1.253000,1.060656
376,1.217000,1.036297
377,1.159000,1.019666
378,1.220000,1.068457
379,1.216000,1.065525
380,1.235000,1.003880
381,1.180000,1.025475
382,1.174000,0.994849
383,1.144000,0.997629
384,1.215000,1.016255
385,1.224000,1.039146
386,1.181000,1.002117
387,1.164000,0.977294
388,1.209000,1.031174
389,1.151000,1.022839
390,1.172000,1.001207
391,1.211000,1.018076
392,1.125000,0.991653
393,1.113000,1.016971
394,1.179000,1.011414
395,1.155000,1.054976
396,1.120000,1.012719
397,1.148000,1.044077
398,1.108000,0.962464
399,1.101000,0.984276
400,1.064000,0.980767
401,1.164000,1.015433
402,1.160000,0.987117
403,1.157000,1.018995
404,1.044000,0.967504
405,1.142000,0.997916
406,1.147000,0.966122
407,1.143000,1.013189
408,1.108000,0.985056
409,1.077000,0.972148
410,1.041000,0.960895
411,1.142000,0.986831
412,1.132000,0.966735
413,1.107000,1.008737
414,1.100000,1.010940
415,1.093000,0.980995
416,1.107000,0.996770
417,1.114000,0.996496
418,1.096000,0.993370
419,1.070000,0.956609
420,1.078000,0.966393
421,1.082000,0.978405
422,1.069000,0.974802
423,1.075000,0.967148
424,1.099000,1.003593
425,1.023000,0.962534
426,1.045000,0.975179
427,1.099000,0.977343
428,1.057000,0.926148
429,1.047000,0.982238
430,1.095000,0.992963
431,1.099000,1.000599
432,1.014000,0.960106
433,1.081000,0.983076
434,1.087000,0.964070
435,1.078000,0.998957
436,1.038000,0.974965
437,1.116000,1.009229
438,1.059000,0.976483
439,1.010000,0.963276
440,1.034000,1.005407
441,1.008000,0.946539
442,1.014000,0.966335
443,1.063000,0.934361
444,1.036000,0.897053
445,1.087000,0.956782
446,1.014000,0.949634
447,0.992000,0.920834
448,1.025000,0.919986
449,1.027000,0.975844
450,1.047000,0.937439
451,0.981000,0.949020
452,0.982000,0.934706
453,0.980000,0.932523
454,1.017000,0.979138
455,0.933000,0.915702
456,1.055000,1.009938
457,1.021000,0.960499
458,1.061000,0.974309
459,1.007000,0.909368
460,0.998000,0.966435
461,0.998000,0.968502
462,0.994000,0.924102
463,0.999000,0.952365
464,0.958000,0.903458
465,0.967000,0.932690
466,0.937000,0.915986
467,0.938000,0.907830
468,0.943000,0.922904
469,0.961000,0.947354
470,0.951000,0.915751
471,0.911000,0.892793
472,1.025000,0.978966
473,0.981000,0.940552
474,0.996000,0.945507
475,0.924000,0.932858
476,0.973000,0.953033
477,0.910000,0.914276
478,0.974000,0.968155
479,0.914000,0.904767
480,0.983000,0.949058
481,0.964000,0.913621
482,0.930000,0.901721
483,0.916000,0.884841
484,0.904000,0.891507
485,0.971000,0.937101
486,0.904000,0.923463
487,0.991000,0.986367
488,0.981000,0.932008
489,0.934000,0.952704
490,0.932000,0.938816
491,0.908000,0.911886
492,0.877000,0.908774
493,0.900000,0.867179
494,0.920000,0.871550
495,0.920000,0.931450
496,0.972000,0.934460
497,0.876000,0.900347
498,0.903000,0.900883
499,0.922000,0.921909
500,0.916000,0.901634
501,0.898000,0.874983
502,0.945000,0.950776
503,0.887000,0.913362
504,0.929000,0.907722
505,0.909000,0.879044
506,0.928000,0.904885
507,0.880000,0.889719
508,0.931000,0.903459
509,0.880000,0.901998
510,0.893000,0.901971
511,0.885000,0.875086
512,0.889000,0.911416
513,0.901000,0.898443
514,0.875000,0.858705
515,0.863000,0.884438
516,0.853000,0.859878
517,0.881000,0.892658
518,0.894000,0.893736
519,0.903000,0.899773
520,0.895000,0.934866
521,0.864000,0.910771
522,0.849000,0.893420
523,0.837000,0.887936
